Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
simple,oup_1806,The Science Factor Book 1 with Digital Content,1,0,visible,The Science Factor Book 1 with Digital Content,The Science Factor Book 1 with Digital Content. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1130.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/the_science_factor_book_1_406518_.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_1807,The Science Factor Book 2 with Digial Content,1,0,visible,The Science Factor Book 2 with Digial Content,The Science Factor Book 2 with Digial Content. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1130.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/the_science_factor_book_2_409525_.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_1808,The Science Factor Book 3 with Digital Content,1,0,visible,The Science Factor Book 3 with Digital Content,The Science Factor Book 3 with Digital Content. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1250.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/the_science_factor_grade_3_409532_.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_4489,The Science Factor Book 4 with Digital Content,1,0,visible,The Science Factor Book 4 with Digital Content,The Science Factor Book 4 with Digital Content. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1350.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/the_science_factor_grade_4_707163_.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_4383,The Science Factor Book 5 with Digital Content,1,0,visible,The Science Factor Book 5 with Digital Content,The Science Factor Book 5 with Digital Content. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1450.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/the_science_factor_book_5.png,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5189,Science Fact File Book 6,1,0,visible,Science Fact File Book 6,Science Fact File Book 6. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1895.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9789697342082.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5190,Science Fact File Book 7,1,0,visible,Science Fact File Book 7,Science Fact File Book 7. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1895.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9789697342099.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5191,Science Fact File Book 8,1,0,visible,Science Fact File Book 8,Science Fact File Book 8. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1895.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9789697342105.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3559,New Oxford Primary Science Book Starter,1,0,visible,New Oxford Primary Science Book Starter,New Oxford Primary Science Book Starter. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,895.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780190700041.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3560,New Oxford Primary Science Book 1,1,0,visible,New Oxford Primary Science Book 1,New Oxford Primary Science Book 1. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,950.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780190700058_1.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
